time,gFx,gFy,gFz,TgF
9.08593E-4,-0.0420,0.9904,0.0467,0.992
0.001378489,-0.0406,0.9869,0.0496,0.989
0.00154875,-0.0440,0.9887,0.0474,0.991
0.001701979,-0.0467,0.9904,0.0481,0.993
0.001852552,-0.0474,0.9899,0.0508,0.992
0.003385364,-0.0525,0.9918,0.0515,0.995
0.0054875,-0.0574,0.9933,0.0513,0.996
0.008187135,-0.0613,0.9957,0.0508,0.999
0.010839114,-0.0594,0.9933,0.0518,0.996
0.013140677,-0.0542,0.9950,0.0511,0.998
0.015485625,-0.0511,0.9952,0.0498,0.998
0.017522395,-0.0481,0.9955,0.0491,0.998
0.019820781,-0.0428,0.9926,0.0479,0.995
0.022073906,-0.0371,0.9916,0.0491,0.993
0.024508489,-0.0335,0.9906,0.0513,0.993
0.026913281,-0.0340,0.9894,0.0501,0.991
0.029035468,-0.0347,0.9899,0.0496,0.992
0.031504531,-0.0354,0.9911,0.0513,0.993
0.033849323,-0.0401,0.9945,0.0513,0.997
0.036224739,-0.0450,0.9950,0.0508,0.997
0.038504114,-0.0467,0.9967,0.0489,0.999
0.041132552,-0.0484,0.9982,0.0462,1.000
0.043324062,-0.0462,0.9970,0.0442,0.999
0.045585208,-0.0457,0.9974,0.0386,0.999
0.047893229,-0.0437,0.9938,0.0362,0.995
0.050626406,-0.0374,0.9911,0.0389,0.993
0.052773333,-0.0325,0.9913,0.0437,0.993
0.055188125,-0.0313,0.9877,0.0494,0.989
0.057804895,-0.0303,0.9889,0.0518,0.991
0.059744323,-0.0288,0.9872,0.0513,0.989
0.062096041,-0.0301,0.9889,0.0481,0.991
0.064510625,-0.0323,0.9906,0.0432,0.992
0.066849687,-0.0367,0.9918,0.0396,0.993
0.069320573,-0.0408,0.9950,0.0359,0.996
0.071484427,-0.0445,0.9965,0.0332,0.998
0.074452552,-0.0467,0.9979,0.0332,1.000
0.076306979,-0.0452,0.9970,0.0352,0.999
0.078736041,-0.0450,0.9957,0.0389,0.998
0.08090125,-0.0411,0.9952,0.0432,0.997
0.083253333,-0.0354,0.9918,0.0469,0.994
0.085623802,-0.0315,0.9904,0.0479,0.992
0.08801151,-0.0296,0.9896,0.0447,0.991
0.090967239,-0.0271,0.9879,0.0403,0.989
0.095606562,-0.0281,0.9889,0.0371,0.990
0.095972864,-0.0283,0.9899,0.0340,0.991
0.097508229,-0.0337,0.9923,0.0306,0.993
0.101117812,-0.0369,0.9933,0.0308,0.994
0.102179114,-0.0406,0.9955,0.0318,0.997
0.104536927,-0.0452,0.9970,0.0340,0.999
0.107148593,-0.0472,0.9974,0.0376,0.999
0.109474635,-0.0464,0.9962,0.0406,0.998
0.111454375,-0.0432,0.9945,0.0428,0.996
0.113668333,-0.0389,0.9931,0.0435,0.995
0.116126614,-0.0349,0.9918,0.0408,0.993
0.118495572,-0.0310,0.9909,0.0371,0.992
0.120784166,-0.0283,0.9869,0.0335,0.988
0.123361041,-0.0273,0.9872,0.0308,0.988
0.126271145,-0.0286,0.9894,0.0276,0.990
0.128164635,-0.0323,0.9931,0.0281,0.994
0.130446666,-0.0354,0.9940,0.0291,0.995
0.133009895,-0.0391,0.9931,0.0320,0.994
0.135325104,-0.0435,0.9950,0.0349,0.997
0.13734276,-0.0445,0.9950,0.0374,0.997
0.139907968,-0.0452,0.9933,0.0396,0.995
0.142134427,-0.0440,0.9945,0.0406,0.996
0.144549375,-0.0411,0.9933,0.0384,0.995
0.146883854,-0.0374,0.9921,0.0357,0.993
0.149678854,-0.0325,0.9916,0.0323,0.993
0.151608958,-0.0298,0.9909,0.0308,0.992
0.154246822,-0.0281,0.9923,0.0315,0.993
0.156325312,-0.0291,0.9909,0.0296,0.992
0.158522708,-0.0301,0.9874,0.0288,0.988
0.160901562,-0.0315,0.9894,0.0310,0.990
0.163468906,-0.0352,0.9931,0.0332,0.994
0.16560677,-0.0398,0.9950,0.0347,0.996
0.167937812,-0.0447,0.9955,0.0349,0.997
0.17059276,-0.0440,0.9977,0.0349,0.999
0.173008541,-0.0435,0.9960,0.0352,0.998
0.175349427,-0.0432,0.9957,0.0332,0.997
0.177628229,-0.0408,0.9952,0.0325,0.997
0.17973375,-0.0384,0.9960,0.0325,0.997
0.182231875,-0.0342,0.9943,0.0315,0.995
0.186740156,-0.0325,0.9918,0.0306,0.993
0.187064895,-0.0306,0.9909,0.0313,0.992
0.189200572,-0.0303,0.9901,0.0310,0.991
0.191481562,-0.0332,0.9906,0.0308,0.992
0.193785,-0.0349,0.9923,0.0301,0.993
0.19629,-0.0386,0.9940,0.0298,0.995
0.198600625,-0.0413,0.9952,0.0286,0.997
0.201049531,-0.0435,0.9943,0.0310,0.996
0.203358593,-0.0447,0.9967,0.0306,0.998
0.20595901,-0.0435,0.9970,0.0310,0.998
0.208150625,-0.0411,0.9952,0.0335,0.997
0.210736302,-0.0369,0.9950,0.0332,0.996
0.212699843,-0.0337,0.9916,0.0357,0.993
0.215072395,-0.0325,0.9909,0.0367,0.992
0.217350104,-0.0325,0.9916,0.0347,0.993
0.219814635,-0.0323,0.9909,0.0345,0.992
0.222216927,-0.0313,0.9911,0.0320,0.992
0.224414166,-0.0320,0.9896,0.0281,0.991
