time,gFx,gFy,gFz,TgF
0.001004375,0.2003,0.9699,0.0535,0.992
0.001277291,0.1981,0.9703,0.0533,0.992
0.003082864,0.1981,0.9721,0.0513,0.993
0.008267812,0.1986,0.9728,0.0459,0.994
0.008513333,0.1981,0.9721,0.0428,0.993
0.010233125,0.2001,0.9721,0.0425,0.993
0.013487083,0.2013,0.9716,0.0420,0.993
0.01486,0.2016,0.9718,0.0430,0.993
0.017033021,0.2016,0.9728,0.0457,0.994
0.019236771,0.2028,0.9723,0.0479,0.994
0.022409843,0.2033,0.9711,0.0496,0.993
0.024145156,0.2050,0.9721,0.0498,0.995
0.026973021,0.2047,0.9711,0.0486,0.994
0.028861093,0.2035,0.9699,0.0462,0.992
0.033204948,0.2042,0.9716,0.0428,0.994
0.033787812,0.2045,0.9713,0.0384,0.993
0.035942083,0.2052,0.9721,0.0384,0.994
0.038479531,0.2038,0.9708,0.0393,0.993
0.040671979,0.2033,0.9721,0.0396,0.994
0.043017083,0.2020,0.9743,0.0411,0.996
0.045634427,0.2006,0.9723,0.0440,0.994
0.047699166,0.1998,0.9728,0.0450,0.994
0.050057552,0.1979,0.9743,0.0452,0.995
0.052353698,0.1969,0.9738,0.0457,0.995
0.055012239,0.1954,0.9725,0.0459,0.993
0.057211614,0.1937,0.9711,0.0447,0.991
0.059475573,0.1954,0.9716,0.0423,0.992
0.061712812,0.1981,0.9716,0.0420,0.992
0.064104635,0.1996,0.9713,0.0418,0.992
0.066460208,0.2006,0.9728,0.0437,0.994
0.068776614,0.2030,0.9713,0.0469,0.993
0.071471146,0.2055,0.9708,0.0479,0.993
0.073695052,0.2072,0.9716,0.0467,0.995
0.075829843,0.2062,0.9718,0.0459,0.995
0.078075521,0.2062,0.9713,0.0452,0.994
0.080471927,0.2042,0.9716,0.0442,0.994
0.082988177,0.2025,0.9733,0.0454,0.995
0.085188958,0.2023,0.9735,0.0484,0.995
0.088093646,0.1998,0.9733,0.0496,0.995
0.089886718,0.1996,0.9718,0.0494,0.993
0.09244276,0.2003,0.9730,0.0503,0.995
0.094563073,0.2013,0.9716,0.0489,0.993
0.097109375,0.2003,0.9721,0.0486,0.994
0.099421302,0.2006,0.9721,0.0481,0.994
0.101764323,0.1996,0.9738,0.0479,0.995
0.104169427,0.2008,0.9728,0.0479,0.994
0.106397864,0.2013,0.9730,0.0481,0.995
0.108712343,0.2025,0.9723,0.0498,0.994
0.111082604,0.2045,0.9730,0.0506,0.996
0.113460677,0.2038,0.9735,0.0518,0.996
0.115834218,0.2011,0.9725,0.0533,0.995
0.118088541,0.2006,0.9723,0.0540,0.994
0.121109271,0.1996,0.9721,0.0515,0.994
0.125154375,0.1996,0.9728,0.0513,0.994
0.125590104,0.1993,0.9740,0.0508,0.995
0.127478854,0.1988,0.9730,0.0476,0.994
0.130243073,0.1964,0.9723,0.0467,0.993
0.132325781,0.1979,0.9713,0.0467,0.992
0.134748645,0.2003,0.9738,0.0486,0.995
0.137169635,0.2011,0.9750,0.0491,0.997
0.139491718,0.2011,0.9743,0.0511,0.996
0.141801979,0.1998,0.9735,0.0508,0.995
0.144161614,0.2013,0.9745,0.0506,0.996
0.146853593,0.1991,0.9733,0.0501,0.995
0.148932812,0.2006,0.9745,0.0494,0.996
0.151203125,0.2011,0.9745,0.0486,0.996
0.154049062,0.2008,0.9730,0.0481,0.995
0.156059843,0.2006,0.9730,0.0476,0.995
0.158523125,0.2020,0.9723,0.0469,0.994
0.160679687,0.2033,0.9725,0.0484,0.995
0.162866979,0.2050,0.9730,0.0491,0.996
0.165281041,0.2057,0.9733,0.0494,0.996
0.167861562,0.2052,0.9743,0.0501,0.997
0.170127708,0.2045,0.9725,0.0501,0.995
0.172307187,0.2038,0.9718,0.0489,0.994
0.174701145,0.2028,0.9733,0.0472,0.995
0.17706026,0.2006,0.9733,0.0474,0.995
0.179400677,0.2013,0.9735,0.0464,0.995
0.181873958,0.1996,0.9728,0.0491,0.994
0.184018177,0.1998,0.9713,0.0498,0.993
0.18665901,0.1996,0.9730,0.0506,0.995
0.188827135,0.1998,0.9713,0.0513,0.993
0.191208854,0.1996,0.9735,0.0525,0.995
0.193456666,0.1988,0.9740,0.0518,0.995
0.195864531,0.2006,0.9733,0.0501,0.995
0.198224323,0.1996,0.9740,0.0498,0.995
0.200499791,0.1991,0.9730,0.0498,0.994
0.203131979,0.1976,0.9743,0.0479,0.995
0.205414114,0.1981,0.9743,0.0491,0.995
0.207608489,0.1986,0.9730,0.0496,0.994
0.210006041,0.1981,0.9740,0.0489,0.995
0.212268645,0.1986,0.9718,0.0491,0.993
0.214829687,0.1984,0.9730,0.0489,0.994
0.217016718,0.1988,0.9747,0.0494,0.996
0.219551406,0.2008,0.9755,0.0484,0.997
0.225696927,0.2040,0.9760,0.0481,0.998
0.225995729,0.2035,0.9755,0.0474,0.998
0.226546302,0.2047,0.9747,0.0472,0.997
0.228708854,0.2069,0.9740,0.0472,0.997
0.231658229,0.2074,0.9735,0.0484,0.997
0.233882864,0.2082,0.9738,0.0481,0.997
0.236179479,0.2082,0.9733,0.0486,0.996
0.238387604,0.2069,0.9738,0.0479,0.997
0.240599479,0.2057,0.9733,0.0459,0.996
0.242967083,0.2060,0.9733,0.0450,0.996
0.245221875,0.2069,0.9738,0.0447,0.997
0.24757625,0.2035,0.9743,0.0450,0.996
0.250223281,0.2040,0.9750,0.0447,0.997
0.252690573,0.2038,0.9764,0.0425,0.998
0.254628958,0.2008,0.9733,0.0428,0.995
0.256968958,0.1988,0.9708,0.0418,0.992
0.259585416,0.1988,0.9708,0.0425,0.992
0.261734739,0.1991,0.9735,0.0423,0.995
0.264016666,0.1993,0.9733,0.0423,0.994
0.266551875,0.2006,0.9730,0.0418,0.994
0.268954948,0.2020,0.9730,0.0415,0.995
0.271120364,0.2035,0.9728,0.0420,0.995
0.273547135,0.2042,0.9699,0.0430,0.992
0.275761718,0.2047,0.9703,0.0415,0.993
0.278125781,0.2055,0.9703,0.0420,0.993
0.280707812,0.2033,0.9723,0.0411,0.994
0.282914427,0.2033,0.9725,0.0401,0.994
0.285625416,0.2003,0.9730,0.0398,0.994
0.287526198,0.2001,0.9725,0.0396,0.994
0.29002927,0.1991,0.9725,0.0406,0.994
0.292322864,0.1981,0.9718,0.0403,0.993
0.294647239,0.1988,0.9721,0.0413,0.993
0.297492343,0.1976,0.9696,0.0415,0.990
0.299576718,0.1993,0.9696,0.0425,0.991
0.302018802,0.2018,0.9699,0.0413,0.991
0.30395302,0.2033,0.9711,0.0411,0.993
0.306337604,0.2045,0.9703,0.0415,0.993
0.308840312,0.2055,0.9723,0.0406,0.995
0.31113776,0.2052,0.9725,0.0391,0.995
0.31334276,0.2050,0.9723,0.0398,0.994
0.315790104,0.2060,0.9689,0.0398,0.991
0.318362187,0.2060,0.9703,0.0393,0.993
0.320498541,0.2064,0.9716,0.0398,0.994
0.325990052,0.2045,0.9706,0.0408,0.993
0.326249531,0.2035,0.9718,0.0420,0.994
0.327643854,0.2023,0.9721,0.0408,0.994
0.330153229,0.2003,0.9701,0.0418,0.991
0.33268651,0.1996,0.9713,0.0428,0.993
0.334895312,0.2030,0.9699,0.0411,0.992
0.336909427,0.2028,0.9716,0.0403,0.993
0.339264739,0.2025,0.9713,0.0411,0.993
0.341708698,0.2050,0.9701,0.0425,0.992
0.343930885,0.2047,0.9703,0.0423,0.993
0.346408802,0.2042,0.9706,0.0428,0.993
0.348747031,0.2050,0.9721,0.0442,0.994
0.35146875,0.2057,0.9706,0.0440,0.993
0.353450781,0.2052,0.9699,0.0418,0.992
0.355822552,0.2045,0.9711,0.0411,0.993
0.358239375,0.2030,0.9711,0.0411,0.993
0.360403489,0.2023,0.9716,0.0406,0.993
0.362805833,0.2023,0.9696,0.0401,0.991
0.365283541,0.2016,0.9701,0.0408,0.992
0.367778906,0.2008,0.9706,0.0415,0.992
0.370027447,0.2003,0.9691,0.0425,0.991
0.372739062,0.2013,0.9706,0.0418,0.992
0.374653229,0.2008,0.9725,0.0411,0.994
0.376911927,0.2008,0.9711,0.0413,0.992
0.379293333,0.2025,0.9711,0.0418,0.993
0.381691875,0.2030,0.9708,0.0418,0.993
0.384337135,0.2047,0.9711,0.0408,0.993
0.386315156,0.2035,0.9725,0.0415,0.994
0.388709322,0.2006,0.9721,0.0413,0.993
0.391172604,0.2006,0.9733,0.0430,0.995
0.393458958,0.2023,0.9725,0.0459,0.994
0.395766979,0.2020,0.9725,0.0459,0.994
0.398111927,0.2028,0.9735,0.0474,0.996
0.400660364,0.2030,0.9730,0.0491,0.995
0.402987447,0.2030,0.9725,0.0481,0.995
0.40516276,0.2020,0.9733,0.0459,0.995
0.407703229,0.2033,0.9716,0.0452,0.994
0.410023854,0.2016,0.9723,0.0437,0.994
0.412186562,0.2011,0.9740,0.0435,0.995
0.414618906,0.1998,0.9723,0.0467,0.994
0.417112239,0.2003,0.9730,0.0484,0.995
0.419231406,0.2001,0.9728,0.0511,0.994
0.421736822,0.1996,0.9721,0.0511,0.994
0.424230833,0.1988,0.9718,0.0506,0.993
0.42644625,0.1959,0.9708,0.0501,0.992
0.428622395,0.1986,0.9725,0.0503,0.994
0.431548593,0.1974,0.9743,0.0494,0.995
0.433765312,0.1966,0.9730,0.0494,0.994
0.435687187,0.1974,0.9738,0.0476,0.995
0.438144583,0.1979,0.9728,0.0469,0.994
0.440543802,0.1986,0.9718,0.0474,0.993
0.442882552,0.1984,0.9730,0.0501,0.994
0.445073906,0.1996,0.9725,0.0494,0.994
0.448094427,0.2003,0.9733,0.0498,0.995
0.450276406,0.2020,0.9723,0.0511,0.994
0.452153385,0.2025,0.9721,0.0491,0.994
0.454529479,0.2030,0.9723,0.0489,0.994
0.457006354,0.2042,0.9716,0.0489,0.994
0.459358072,0.2038,0.9725,0.0501,0.995
0.461698333,0.2025,0.9740,0.0506,0.996
0.464119427,0.2040,0.9745,0.0511,0.997
0.466605937,0.2025,0.9723,0.0498,0.994
0.468671354,0.2055,0.9728,0.0498,0.995
0.470954322,0.2055,0.9723,0.0506,0.995
0.473454114,0.2038,0.9721,0.0491,0.994
0.475742916,0.2030,0.9733,0.0503,0.995
0.478165625,0.2023,0.9728,0.0508,0.995
0.480368281,0.2008,0.9752,0.0498,0.997
0.483084843,0.2003,0.9747,0.0501,0.996
0.485122343,0.1991,0.9752,0.0506,0.997
0.48746177,0.2008,0.9745,0.0513,0.996
0.49021427,0.2023,0.9740,0.0513,0.996
0.492295,0.2030,0.9728,0.0518,0.995
0.494596041,0.2023,0.9735,0.0511,0.996
0.497003125,0.2018,0.9752,0.0508,0.997
0.499519947,0.2040,0.9745,0.0501,0.997
0.501681979,0.2030,0.9745,0.0501,0.997
0.503919062,0.2016,0.9747,0.0501,0.997
0.50708625,0.2011,0.9757,0.0494,0.997
0.509174791,0.2008,0.9752,0.0489,0.997
0.511252968,0.1991,0.9752,0.0479,0.996
0.513521875,0.1981,0.9760,0.0481,0.997
0.516259635,0.1984,0.9735,0.0472,0.995
0.518247552,0.1979,0.9733,0.0506,0.994
0.520732864,0.1986,0.9747,0.0498,0.996
0.523584114,0.1991,0.9747,0.0503,0.996
0.527114531,0.1998,0.9757,0.0498,0.997
0.52854125,0.2008,0.9740,0.0476,0.996
0.529953697,0.2028,0.9735,0.0462,0.995
0.532646458,0.2033,0.9743,0.0459,0.996
0.53461901,0.2047,0.9735,0.0454,0.996
0.536874062,0.2030,0.9740,0.0452,0.996
0.53931375,0.2011,0.9733,0.0469,0.995
0.541666614,0.2013,0.9716,0.0474,0.993
0.544156041,0.2013,0.9728,0.0467,0.994
0.546397708,0.2011,0.9745,0.0469,0.996
0.548956302,0.1996,0.9743,0.0459,0.996
0.55114526,0.1981,0.9738,0.0459,0.995
0.5534425,0.1969,0.9725,0.0462,0.993
0.555735833,0.1974,0.9728,0.0457,0.994
0.558381718,0.1974,0.9723,0.0454,0.993
0.56067401,0.1991,0.9735,0.0454,0.995
0.562812656,0.1986,0.9735,0.0452,0.995
0.565453489,0.1996,0.9743,0.0467,0.996
0.567617916,0.1993,0.9725,0.0464,0.994
0.570009791,0.2003,0.9730,0.0454,0.994
0.572510052,0.2006,0.9735,0.0452,0.995
0.574675729,0.2006,0.9735,0.0435,0.995
0.57699401,0.2011,0.9721,0.0437,0.994
0.579405937,0.2011,0.9721,0.0445,0.994
0.582102916,0.2001,0.9721,0.0442,0.993
0.58418302,0.2013,0.9708,0.0454,0.993
0.586463906,0.2023,0.9716,0.0457,0.993
0.588701041,0.2025,0.9718,0.0452,0.994
0.591293645,0.2033,0.9713,0.0459,0.993
