time,gFx,gFy,gFz,TgF
0.001168802,0.1937,0.9747,0.0733,0.997
0.001439636,0.1937,0.9747,0.0689,0.996
0.002197292,0.1954,0.9755,0.0630,0.997
0.005406406,0.1984,0.9757,0.0564,0.997
0.00863349,0.2018,0.9747,0.0484,0.997
0.008887031,0.2052,0.9718,0.0432,0.994
0.011426042,0.2062,0.9706,0.0442,0.993
0.013569323,0.2047,0.9730,0.0489,0.996
0.015980781,0.2013,0.9745,0.0542,0.997
0.018506198,0.1974,0.9755,0.0630,0.997
0.021029011,0.1949,0.9772,0.0684,0.999
0.022886615,0.1920,0.9777,0.0696,0.999
0.025080104,0.1905,0.9769,0.0672,0.998
0.027469011,0.1918,0.9794,0.0584,1.000
0.035690938,0.1927,0.9777,0.0484,0.998
0.036030833,0.1952,0.9752,0.0393,0.995
0.036271302,0.1993,0.9772,0.0332,0.998
0.04006875,0.2025,0.9764,0.0303,0.998
0.040349583,0.2045,0.9743,0.0303,0.996
0.041638281,0.2057,0.9755,0.0332,0.997
0.044120052,0.2045,0.9782,0.0354,1.000
0.049929844,0.2003,0.9777,0.0384,0.999
0.050365313,0.2013,0.9784,0.0413,1.000
0.051426979,0.1993,0.9767,0.0447,0.998
0.053538021,0.1974,0.9762,0.0464,0.997
0.056107552,0.1949,0.9755,0.0481,0.996
0.058385313,0.1930,0.9750,0.0467,0.995
0.060640677,0.1925,0.9738,0.0428,0.994
0.062936146,0.1930,0.9733,0.0393,0.993
0.065353438,0.1952,0.9747,0.0345,0.995
0.067729115,0.1964,0.9745,0.0291,0.995
0.069919479,0.2006,0.9747,0.0276,0.996
0.072230208,0.2011,0.9747,0.0266,0.996
0.074839323,0.2016,0.9738,0.0281,0.995
0.07690625,0.2003,0.9718,0.0323,0.993
0.07948474,0.2001,0.9718,0.0393,0.993
0.081920938,0.1966,0.9733,0.0450,0.994
0.084378542,0.1940,0.9713,0.0494,0.992
0.086305365,0.1922,0.9699,0.0525,0.990
0.088709844,0.1937,0.9711,0.0520,0.992
0.091077188,0.1947,0.9701,0.0506,0.991
0.093558438,0.1959,0.9706,0.0476,0.991
0.096236094,0.1988,0.9701,0.0447,0.991
0.098195469,0.2038,0.9691,0.0418,0.991
0.100670729,0.2067,0.9706,0.0389,0.993
0.10280875,0.2094,0.9716,0.0408,0.995
0.105185,0.2106,0.9725,0.0428,0.996
0.107556771,0.2101,0.9725,0.0481,0.996
